MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
15000001,2015,Jan,1,Fire,TRASH - Trash Fire,B5,AFD,00-0501,3F,Code 3,3,"(30268569, 97686927)"
15000011,2015,Jan,1,Fire,TRASH - Trash Fire,B3,AFD,00-2801,3F,Code 3,7,"(30423512, 97691980)"
15000012,2015,Jan,1,Fire,TRASH - Trash Fire,B4,AFD,00-3701,3F,Code 3,8,"(30251018, 97885490)"
15000032,2015,Jan,1,Fire,TRASH - Trash Fire,B3,AFD,00-3004,3F,Left Blank,1,"(30378388, 97666851)"
15000035,2015,Jan,1,Fire,TRASH - Trash Fire,B4,AFD,00-2904,3F,Code 1,8,"(30154133, 97847280)"
15000044,2015,Jan,1,Fire,DUMP - Dumpster Fire,B5,AFD,00-2401,3F,Code 3,2,"(30191283, 97731155)"
15000052,2015,Jan,1,Fire,TRASH - Trash Fire,B3,AFD,00-3001,3F,Code 3,4,"(30382819, 97710566)"
15000055,2015,Jan,1,Fire,TRASH - Trash Fire,B2,AFD,00-2104,3F,Code 3,10,"(30365245, 97743662)"
15000081,2015,Jan,1,Fire,ELEC - Electrical Fire,B4,AFD,00-2702,3F,Code 3,8,"(30228647, 97833604)"
15000084,2015,Jan,1,Fire,DUMP - Dumpster Fire,B3,AFD,00-0802,3F,Code 3,4,"(30359463, 97699006)"
15000318,2015,Jan,1,Fire,TRASH - Trash Fire,B4,AFD,00-2006,3F,Left Blank,5,"(30195323, 97803651)"
15000352,2015,Jan,1,Fire,ELEC - Electrical Fire,B4,AFD,00-2001,3F,Code 3,5,"(30207245, 97809312)"
15000365,2015,Jan,1,Fire,DUMP - Dumpster Fire,B2,AFD,00-3402,3F,Code 3,6,"(30459994, 97798156)"
15000375,2015,Jan,1,Fire,ELEC - Electrical Fire,B5,AFD,00-2202,3F,Code 3,3,"(30239290, 97720597)"
15000381,2015,Jan,1,Fire,TRASH - Trash Fire,B3,AFD,00-3002,3F,Code 1,7,"(30398335, 97704410)"
15000439,2015,Jan,2,Fire,ELEC - Electrical Fire,B2,AFD,00-1905,3F,Code 1,10,"(30328522, 97764947)"
15000618,2015,Jan,2,Fire,ELEC - Electrical Fire,B3,AFD,00-3005,3F,Code 3,4,"(30366147, 97690866)"
15000624,2015,Jan,2,Fire,BBQ - Unsafe Cooking,B5,AFD,00-0502,4F,Code 1,1,"(30268060, 97696154)"
15000627,2015,Jan,2,Fire,DUMP - Dumpster Fire,B1,AFD,00-0301,3F,Code 3,9,"(30293376, 97741808)"
15000706,2015,Jan,2,Fire,ELEC - Electrical Fire,B2,AFD,00-3907,3F,Code 3,6,"(30435588, 97840022)"
15000729,2015,Jan,2,Fire,ELEC - Electrical Fire,B2,AFD,00-2102,3F,Code 1,10,"(30361699, 97768679)"
15000863,2015,Jan,3,Fire,TRASH - Trash Fire,B5,AFD,00-0701,3F,Code 3,3,"(30259429, 97728245)"
15001008,2015,Jan,3,Fire,ELEC - Electrical Fire,B5,AFD,00-1501,3F,Code 3,3,"(30256464, 97686501)"
15001050,2015,Jan,3,Fire,BBQ - Unsafe Cooking,B4,AFD,00-1705,4F,Code 3,3,"(30230779, 97776065)"
15001074,2015,Jan,3,Fire,AUTO - Auto Fire,B5,AFD,00-2202,2F,Code 3,3,"(30230500, 97728053)"
15001094,2015,Jan,3,Fire,ELEC - Electrical Fire,B4,AFD,00-2005,3F,Code 3,2,"(30201177, 97780360)"
15001177,2015,Jan,4,Fire,AUTO - Auto Fire,B4,AFD,00-1705,2F,Code 3,5,"(30230226, 97787784)"
15001194,2015,Jan,4,Fire,ELEC - Electrical Fire,B5,AFD,00-0702,3F,Code 3,3,"(30257790, 97719767)"
15001328,2015,Jan,4,Fire,ELEC - Electrical Fire,B3,AFD,00-0801,3F,Code 3,4,"(30364282, 97714510)"
15001357,2015,Jan,4,Fire,GRASS - Small Grass Fire,B3,AFD,00-2304,3F,Code 3,4,"(30354090, 97681466)"
15001377,2015,Jan,4,Fire,TRASH - Trash Fire,B3,AFD,00-3005,3F,Code 3,4,"(30376079, 97685389)"
15001520,2015,Jan,5,Fire,TRASH - Trash Fire,B5,AFD,00-0603,3F,Code 3,3,"(30242111, 97759622)"
15001523,2015,Jan,5,Fire,DUMP - Dumpster Fire,B3,AFD,00-3002,3F,Code 3,7,"(30397560, 97704797)"
15001574,2015,Jan,5,Fire,AUTO - Auto Fire,B4,AFD,00-3601,2F,Code 3,2,"(30167598, 97785850)"
15001588,2015,Jan,5,Fire,AUTO - Auto Fire,B4,AFD,00-3603,2F,Code 3,5,"(30132975, 97799015)"
15001797,2015,Jan,5,Fire,AUTO - Auto Fire,B5,AFD,00-2206,2F,Code 3,3,"(30219423, 97695552)"
15001818,2015,Jan,5,Fire,ELEC - Electrical Fire,B5,AFD,00-2401,3F,Code 3,2,"(30186426, 97745737)"
15001838,2015,Jan,6,Fire,TRASH - Trash Fire,B4,AFD,00-1707,3F,Code 3,3,"(30222055, 97761355)"
15001949,2015,Jan,6,Fire,GRASS - Small Grass Fire,B3,AFD,00-2803,3F,Code 3,7,"(30409180, 97689374)"
15001969,2015,Jan,6,Fire,TRASH - Trash Fire,B3,AFD,00-2806,3F,Code 1,7,"(30417834, 97712689)"
15002010,2015,Jan,6,Fire,GRASS - Small Grass Fire,B3,AFD,00-2304,3F,Code 3,4,"(30351834, 97684775)"
15002061,2015,Jan,6,Fire,TRASH - Trash Fire,B3,AFD,00-0803,3F,Code 3,4,"(30355643, 97715069)"
15002063,2015,Jan,6,Fire,TRASH - Trash Fire,B5,AFD,00-2404,3F,Left Blank,2,"(30149825, 97741833)"
15002072,2015,Jan,6,Fire,AUTO - Auto Fire,B2,AFD,00-1903,2F,Code 3,10,"(30352971, 97757926)"
15002157,2015,Jan,6,Fire,TRASH - Trash Fire,B4,AFD,00-1104,3F,Code 3,8,"(30265876, 97772265)"
15002247,2015,Jan,7,Fire,AUTO - Auto Fire,B5,AFD,00-0601,2F,Code 3,9,"(30233994, 97741058)"
15002290,2015,Jan,7,Fire,GRASS - Small Grass Fire,B3,AFD,00-2301,3F,Left Blank,4,"(30354980, 97682830)"
15002382,2015,Jan,7,Fire,GRASS - Small Grass Fire,B4,AFD,00-3201,3F,Code 3,8,"(30263368, 97789877)"
