MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
17008349,2017,Jan,24,Fire,AUTO - Auto Fire,B2,AFD,00-3102,2F,Code 3,10,"(30387952, 97824675)"
17008374,2017,Jan,24,Fire,AUTO - Auto Fire,B2,AFD,00-3901,2F,Code 3,6,"(30414750, 97848298)"
17008514,2017,Jan,24,Fire,ELEC - Electrical Fire,B7,AFD,00-1801,3F,Code 3,1,"(30321470, 97679124)"
17008521,2017,Jan,24,Fire,BBQ - Unsafe Cooking,B4,AFD,00-2203,4F,Code 1,3,"(30235657, 97718699)"
17008592,2017,Jan,25,Fire,TRASH - Trash Fire,B1,AFD,00-0401,3F,Code 3,9,"(30270606, 97754435)"
17008605,2017,Jan,25,Fire,TRASH - Trash Fire,B1,AFD,00-0203,3F,Code 1,1,"(30274301, 97723053)"
17008645,2017,Jan,25,Fire,ELEC - Electrical Fire,B3,AFD,00-1403,3F,Code 3,9,"(30288257, 97715872)"
17000008,2017,Jan,1,Fire,TRASH - Trash Fire,B3,AFD,00-2304,3F,Code 3,4,"(30337526, 97692307)"
17000012,2017,Jan,1,Fire,TRASH - Trash Fire,B4,AFD,00-1702,3F,Code 3,3,"(30219683, 97775320)"
17008757,2017,Jan,25,Fire,TRASH - Trash Fire,B4,AFD,00-2402,3F,Code 3,2,"(30194059, 97756865)"
17008771,2017,Jan,25,Fire,AUTO - Auto Fire,B3,AFD,00-2801,2F,Code 3,7,"(30431402, 97700024)"
17000022,2017,Jan,1,Fire,DUMP - Dumpster Fire,B2,AFD,00-2101,3F,Code 3,10,"(30357938, 97749321)"
17000028,2017,Jan,1,Fire,TRASH - Trash Fire,B5,AFD,00-2404,3F,Code 1,2,"(30153870, 97742668)"
17000029,2017,Jan,1,Fire,DUMP - Dumpster Fire,B5,AFD,00-2204,3F,Code 3,3,"(30235180, 97714684)"
17000047,2017,Jan,1,Fire,DUMP - Dumpster Fire,B5,AFD,00-2204,3F,Code 3,3,"(30235180, 97714684)"
17000052,2017,Jan,1,Fire,DUMP - Dumpster Fire,B3,AFD,00-1805,3F,Code 3,1,"(30328500, 97689363)"
17008792,2017,Jan,25,Fire,AUTO - Auto Fire,B3,AFD,00-2803,2F,Code 3,7,"(30412656, 97699581)"
17008799,2017,Jan,25,Fire,AUTO - Auto Fire,B3,AFD,00-0807,2F,Code 3,10,"(30389502, 97745087)"
17008816,2017,Jan,25,Fire,AUTO - Auto Fire,B3,AFD,00-1606,2F,Code 3,7,"(30342027, 97738760)"
17008832,2017,Jan,25,Fire,AUTO - Auto Fire,B3,AFD,00-3005,2F,Code 3,1,"(30369821, 97680790)"
17008833,2017,Jan,25,Fire,ELEC - Electrical Fire,B4,AFD,00-1705,3F,Code 3,5,"(30237193, 97786536)"
17008865,2017,Jan,25,Fire,TRASH - Trash Fire,B1,AFD,00-0201,3F,Code 3,9,"(30281746, 97741929)"
17000094,2017,Jan,1,Fire,DUMP - Dumpster Fire,B1,AFD,00-0301,3F,Code 3,9,"(30290112, 97746592)"
17000100,2017,Jan,1,Fire,TRASH - Trash Fire,B2,AFD,00-2101,3F,Code 3,10,"(30358231, 97752414)"
17000110,2017,Jan,1,Fire,TRASH - Trash Fire,B4,AFD,00-2005,3F,Code 1,2,"(30206048, 97797113)"
17000180,2017,Jan,1,Fire,ELEC - Electrical Fire,B5,AFD,00-2403,3F,Code 1,2,"(30179017, 97758904)"
17000193,2017,Jan,1,Fire,DUMP - Dumpster Fire,B5,AFD,00-2202,3F,Code 3,3,"(30239088, 97730194)"
17008980,2017,Jan,26,Fire,ELEC - Electrical Fire,B1,AFD,00-0401,3F,Code 1,9,"(30277079, 97756137)"
17000210,2017,Jan,1,Fire,BBQ - Unsafe Cooking,B5,AFD,00-2201,4F,Code 1,3,"(30232621, 97721286)"
17000216,2017,Jan,1,Fire,ELEC - Electrical Fire,B2,AFD,00-2501,3F,Code 3,6,"(30431741, 97744107)"
17000239,2017,Jan,1,Fire,TRASH - Trash Fire,B4,AFD,00-1702,3F,Code 3,3,"(30214490, 97780216)"
17000269,2017,Jan,1,Fire,DUMP - Dumpster Fire,B4,AFD,00-2004,3F,Code 3,5,"(30216649, 97796639)"
17000278,2017,Jan,1,Fire,BBQ - Unsafe Cooking,B3,AFD,00-2306,4F,Code 1,4,"(30366921, 97693260)"
17000295,2017,Jan,1,Fire,TRASH - Trash Fire,B2,AFD,00-3802,3F,Code 3,6,"(30453565, 97821946)"
17000302,2017,Jan,1,Fire,GRASS - Small Grass Fire,B3,AFD,00-1803,3F,Code 3,1,"(30318699, 97702626)"
17009019,2017,Jan,26,Fire,TRASH - Trash Fire,B2,AFD,00-4403,3F,Code 3,6,"(30437475, 97767783)"
17009068,2017,Jan,26,Fire,TRASH - Trash Fire,B4,AFD,00-2402,3F,Code 3,2,"(30193934, 97740437)"
17009081,2017,Jan,26,Fire,GRASS - Small Grass Fire,B4,AFD,00-2004,3F,Code 3,5,"(30216569, 97790561)"
17000351,2017,Jan,1,Fire,BBQ - Unsafe Cooking,B3,AFD,00-1803,4F,Left Blank,1,"(30318699, 97702626)"
17000380,2017,Jan,1,Fire,AUTO - Auto Fire,B2,AFD,00-2502,2F,Code 3,7,"(30396264, 97732363)"
17000386,2017,Jan,1,Fire,GRASS - Small Grass Fire,B3,AFD,00-2805,3F,Code 3,7,"(30401326, 97726469)"
17000402,2017,Jan,1,Fire,TRASH - Trash Fire,B2,AFD,00-3809,3F,Code 1,6,"(30447317, 97773228)"
17009200,2017,Jan,26,Fire,ELEC - Electrical Fire,B4,AFD,00-2202,3F,Code 3,3,"(30233743, 97728419)"
17009217,2017,Jan,26,Fire,ELEC - Electrical Fire,B3,AFD,00-0805,3F,Code 3,7,"(30372595, 97735370)"
17000422,2017,Jan,1,Fire,GRASS - Small Grass Fire,B3,AFD,00-0801,3F,Code 3,4,"(30370409, 97719776)"
17000434,2017,Jan,2,Fire,DUMP - Dumpster Fire,B5,AFD,00-1501,3F,Code 3,3,"(30256464, 97686501)"
17009228,2017,Jan,26,Fire,AUTO - Auto Fire,B3,AFD,00-3004,2F,Code 3,1,"(30391515, 97671661)"
17009276,2017,Jan,27,Fire,TRASH - Trash Fire,B5,AFD,00-4201,3F,Code 3,2,"(30209306, 97651383)"
17009277,2017,Jan,27,Fire,TRASH - Trash Fire,B5,AFD,00-4201,3F,Code 3,2,"(30206806, 97645735)"
17009281,2017,Jan,27,Fire,DUMP - Dumpster Fire,B3,AFD,00-1405,3F,Code 3,9,"(30298214, 97719294)"
17009284,2017,Jan,27,Fire,ELEC - Electrical Fire,B4,AFD,00-0604,3F,Code 1,9,"(30256929, 97750933)"
17000537,2017,Jan,2,Fire,ELEC - Electrical Fire,B2,AFD,00-1605,3F,Code 3,7,"(30338716, 97736149)"
17000585,2017,Jan,2,Fire,AUTO - Auto Fire,B5,AFD,00-3503,2F,Code 3,3,"(30212225, 97712306)"
17000649,2017,Jan,2,Fire,ELEC - Electrical Fire,B4,AFD,00-2702,3F,Code 3,8,"(30229669, 97850624)"
17000660,2017,Jan,2,Fire,AUTO - Auto Fire,B3,AFD,00-1805,2F,Code 3,1,"(30327830, 97677293)"
17000662,2017,Jan,2,Fire,AUTO - Auto Fire,B3,AFD,00-1801,2F,Code 3,1,"(30321466, 97686492)"
17000667,2017,Jan,2,Fire,AUTO - Auto Fire,B3,AFD,00-1805,2F,Left Blank,1,"(30330795, 97682589)"
17000674,2017,Jan,2,Fire,TRASH - Trash Fire,B3,AFD,00-4004,3F,Code 3,1,"(30378318, 97660830)"
17000677,2017,Jan,2,Fire,TRASH - Trash Fire,B3,AFD,00-4005,3F,Left Blank,7,"(30438505, 97658965)"
17000777,2017,Jan,3,Fire,AUTO - Auto Fire,B2,AFD,00-1902,2F,Code 3,10,"(30344710, 97784394)"
17000787,2017,Jan,3,Fire,ELEC - Electrical Fire,B5,AFD,00-2404,3F,Code 3,2,"(30149668, 97738021)"
17000808,2017,Jan,3,Fire,GRASS - Small Grass Fire,B5,AFD,00-3506,3F,Code 3,2,"(30173680, 97672265)"
17000904,2017,Jan,3,Fire,DUMP - Dumpster Fire,B5,AFD,00-1503,3F,Code 3,3,"(30251553, 97700448)"
17000907,2017,Jan,3,Fire,AUTO - Auto Fire,B4,AFD,00-2903,2F,Code 3,5,"(30187080, 97829944)"
17001045,2017,Jan,3,Fire,GRASS - Small Grass Fire,B3,AFD,00-2306,3F,Code 3,4,"(30351657, 97692349)"
17001095,2017,Jan,4,Fire,DUMP - Dumpster Fire,B3,AFD,00-1804,3F,Code 3,4,"(30336218, 97701400)"
17001120,2017,Jan,4,Fire,AUTO - Auto Fire,B4,AFD,00-3610,2F,Code 3,5,"(30166974, 97786109)"
17001125,2017,Jan,4,Fire,DUMP - Dumpster Fire,B5,AFD,00-2204,3F,Code 3,3,"(30239067, 97694362)"
17001145,2017,Jan,4,Fire,GRASS - Small Grass Fire,B2,AFD,00-1903,3F,Code 3,10,"(30335637, 97755390)"
17001160,2017,Jan,4,Fire,AUTO - Auto Fire,B3,AFD,00-0807,2F,Code 3,7,"(30387159, 97743737)"
17001224,2017,Jan,4,Fire,TRASH - Trash Fire,B4,AFD,00-2706,3F,Code 3,8,"(30234061, 97864779)"
17001280,2017,Jan,4,Fire,GRASS - Small Grass Fire,B2,AFD,00-3906,3F,Code 3,6,"(30433983, 97840918)"
17001309,2017,Jan,4,Fire,TRASH - Trash Fire,B1,AFD,00-0901,3F,Code 1,9,"(30303946, 97720169)"
17001348,2017,Jan,4,Fire,TRASH - Trash Fire,B5,AFD,00-0502,3F,Code 3,1,"(30281367, 97695510)"
17001363,2017,Jan,4,Fire,AUTO - Auto Fire,B4,AFD,00-1710,2F,Code 3,3,"(30199905, 97763451)"
17001458,2017,Jan,5,Fire,TRASH - Trash Fire,B3,AFD,00-2604,3F,Code 3,1,"(30279159, 97629755)"
17001520,2017,Jan,5,Fire,AUTO - Auto Fire,B1,AFD,00-1003,2F,Code 3,10,"(30282959, 97776603)"
17001581,2017,Jan,5,Fire,GRASS - Small Grass Fire,B3,AFD,00-4103,3F,Code 3,1,"(30329144, 97654681)"
17001589,2017,Jan,5,Fire,ELEC - Electrical Fire,B3,AFD,00-1803,3F,Code 3,4,"(30318198, 97706564)"
17009444,2017,Jan,27,Fire,AUTO - Auto Fire,B3,AFD,00-0807,2F,Code 3,10,"(30389850, 97745064)"
17009505,2017,Jan,27,Fire,ELEC - Electrical Fire,B4,AFD,00-2204,3F,Code 3,3,"(30238740, 97694606)"
17009566,2017,Jan,27,Fire,BBQ - Unsafe Cooking,B3,AFD,00-3004,4F,Code 1,1,"(30378579, 97674641)"
17001742,2017,Jan,6,Fire,ELEC - Electrical Fire,B2,AFD,00-3404,3F,Code 1,6,"(30476973, 97789372)"
17001776,2017,Jan,6,Fire,GRASS - Small Grass Fire,B4,AFD,00-1101,3F,Code 3,5,"(30264769, 97764988)"
17001791,2017,Jan,6,Fire,DUMP - Dumpster Fire,B1,AFD,00-0201,3F,Code 3,9,"(30284702, 97752460)"
17001815,2017,Jan,6,Fire,TRASH - Trash Fire,B2,AFD,00-4401,3F,Code 3,6,"(30433832, 97770943)"
17001835,2017,Jan,6,Fire,ELEC - Electrical Fire,B5,AFD,00-2202,3F,Code 3,3,"(30234396, 97730893)"
17001855,2017,Jan,6,Fire,TRASH - Trash Fire,B4,AFD,00-1101,3F,Code 1,5,"(30260873, 97758521)"
